f3 [Hz],sf3 [Hz],w3 [1/s],sw3 [1/s],tn1 [s],tn2 [s],tn [s],stn [s],Tn [s],sTn [s],wn [1/s],swn [1/s],wn/w3,swn/w3
10.0,0.05,62.8,0.3,62.69,59.96,61.33,0.01,6.27,0.001,1.002,0.013,0.01595,0.00008
10.5,0.05,66.0,0.3,58.84,59.50,59.17,0.01,5.88,0.001,1.068,0.013,0.01619,0.00008
11.0,0.05,69.1,0.3,56.94,59.69,58.32,0.01,5.69,0.001,1.103,0.014,0.01597,0.00007
12.0,0.05,75.4,0.3,51.53,51.13,51.33,0.01,5.15,0.001,1.219,0.015,0.01617,0.00007
13.0,0.05,81.7,0.3,49.63,48.87,49.25,0.01,4.96,0.001,1.266,0.016,0.01550,0.00006
14.0,0.05,88.0,0.3,44.75,45.56,45.16,0.01,4.48,0.001,1.404,0.018,0.01596,0.00006
15.0,0.05,94.2,0.3,40.78,40.53,40.66,0.01,4.08,0.001,1.541,0.019,0.01635,0.00005
16.0,0.05,100.5,0.3,37.47,38.28,37.88,0.01,3.75,0.001,1.677,0.021,0.01668,0.00005
17.0,0.05,106.8,0.3,35.71,36.31,36.01,0.01,3.57,0.001,1.760,0.022,0.01647,0.00005
18.0,0.05,113.1,0.3,34.25,34.65,34.45,0.01,3.43,0.001,1.835,0.023,0.01622,0.00005
19.0,0.05,119.4,0.3,32.85,33.06,32.96,0.01,3.29,0.001,1.913,0.024,0.01602,0.00004
20.0,0.05,125.7,0.3,30.75,31.19,30.97,0.01,3.08,0.001,2.043,0.026,0.01626,0.00004